1,4-alpha-glucan branching enzyme 1	GBE1	GLGB_HUMAN
""	1700092C17Rik	Q8C1Q9_MOUSE
""	1700092M07Rik	TEX54_MOUSE
""	1700093J21Rik	Q9D9E3_MOUSE
""	1700093K21Rik	A0A6Q6PKH4_MOUSE
""	1700093K21Rik	CB074_MOUSE
""	1700094D03Rik	A0A0R4J089_MOUSE
""	1700094D03Rik	CA189_MOUSE
""	1700102P08Rik	A0A0A6YWI5_MOUSE
""	1700102P08Rik	A0A0R4J0D7_MOUSE
""	1700102P08Rik	CC062_MOUSE
""	1700104B16Rik	Q9D2S2_MOUSE
""	1700109H08Rik	D6RH70_MOUSE
""	1700109H08Rik	Q9D9C0_MOUSE
""	1700110I01Rik	Q9D9B9_MOUSE
""	1700111E14Rik	Q9D9B6_MOUSE
""	1700113H08Rik	A0A087WR28_MOUSE
""	1700113H08Rik	E9Q9Q5_MOUSE
""	1700113H08Rik	Q9D9A9_MOUSE
""	1700120K04Rik	Q9CQP7_MOUSE
""	1700122O11Rik	J3QPW6_MOUSE
""	1700122O11Rik	Q9D996_MOUSE
""	1700123K08Rik	Q9D991_MOUSE
""	1700123L14Rik	Q3V2K7_MOUSE
""	1700123O20Rik	CN119_MOUSE
""	1700123O20Rik	Q3TC60_MOUSE
""	1700125H20Rik	CQ064_MOUSE
""	1700125H20Rik	CQ064_MOUSE
""	1700128E19Rik	Q9D971_MOUSE
""	1700129C05Rik	E0CXF5_MOUSE
""	1700129C05Rik	E0CXJ8_MOUSE
""	1700129C05Rik	E0CZH4_MOUSE
""	1700129C05Rik	Q9CQ77_MOUSE
""	1700129L04Rik	Q9D969_MOUSE
""	1810009A15Rik	A0A087WQJ5_MOUSE
""	1810009A15Rik	CK098_MOUSE
""	1810009J06Rik	Q9CPN7_MOUSE
""	1810009N02Rik	Q9D927_MOUSE
""	1810010H24Rik	A0A1B0GR98_MOUSE
""	1810010H24Rik	A0A1B0GT03_MOUSE
""	1810010H24Rik	CQ058_MOUSE
""	1810013L24Rik	CP072_MOUSE
""	1810013L24Rik	Q3TR42_MOUSE
""	1810020O05Rik	A0A571BDQ7_MOUSE
""	1810024B03Rik	Q8BWE1_MOUSE
""	1810030O07Rik	CX038_MOUSE
""	1810030O07Rik	CX038_MOUSE
""	1810034E14Rik	Q3UNW1_MOUSE
""	1810037I17Rik	CD003_MOUSE
""	1810046K07Rik	A0A5K1VW51_MOUSE
""	1810046K07Rik	CK053_MOUSE
""	1810055G02Rik	CK024_MOUSE
""	1810058I24Rik	A0A5F8MQ94_MOUSE
""	1810058I24Rik	Q3TZ70_MOUSE
""	1810058I24Rik	STMP1_MOUSE
""	1810062G17Rik	G3X8Y2_MOUSE
""	1810062G17Rik	Q9D8K9_MOUSE
""	1810062O18Rik	Q9D8K6_MOUSE
""	1810064F22Rik	Q3UQG2_MOUSE
""	1810065E05Rik	Q5NC41_MOUSE
""	1810065E05Rik	Q8R0G1_MOUSE
""	1810065E05Rik	Q9D8K1_MOUSE
""	2010003K11Rik	CK086_MOUSE
""	2010016I18Rik	Q3V2Y2_MOUSE
""	2010106E10Rik	A2ANY3_MOUSE
""	2010106E10Rik	Q9D3Q9_MOUSE
""	2010109A12Rik	Q9D875_MOUSE
""	2010204K13Rik	Q9JM45_MOUSE
""	2010315B03Rik	J3QK55_MOUSE
""	2200002D01Rik	Q9D809_MOUSE
""	2200002J24Rik	Q9D807_MOUSE
""	2210010C04Rik	Q9CPN9_MOUSE
""	2210010C04Rik	Q9D7Y7_MOUSE
""	2210016F16Rik	G3X8U3_MOUSE
""	2210016F16Rik	Q9D7X2_MOUSE
""	2210016L21Rik	A0A0R4J099_MOUSE
""	2210016L21Rik	CSTOS_MOUSE
""	2210017I01Rik	A0A0A6YVV1_MOUSE
""	2210408I21Rik	A0A286YDQ9_MOUSE
""	2210408I21Rik	B2RXR4_MOUSE
""	2210408I21Rik	B9EKQ6_MOUSE
""	2210408I21Rik	K0825_MOUSE
""	2210408I21Rik	K0825_MOUSE
""	2210418O10Rik	A2ARL4_MOUSE
""	2210418O10Rik	A2ARV8_MOUSE
""	2210418O10Rik	D3YYR3_MOUSE
""	2210418O10Rik	F7ACM4_MOUSE
""	2300002M23Rik	CF015_MOUSE
""	2300003K06Rik	A2A4M0_MOUSE
""	2300009A05Rik	CO061_MOUSE
""	2300009A05Rik	CO061_MOUSE
""	2300009A05Rik	Q9D7P2_MOUSE
""	2310001K24Rik	Q9D7N7_MOUSE
""	2310002L09Rik	Q14C20_MOUSE
""	2310002L09Rik	Q14C21_MOUSE
""	2310002L09Rik	Q9D7L5_MOUSE
""	2310002L09Rik	Q9D7M6_MOUSE
""	2310009B15Rik	A0A0A6YWI4_MOUSE
""	2310009B15Rik	D3Z1T2_MOUSE
""	2310011J03Rik	CS025_MOUSE
""	2310015D24Rik	Q3UW10_MOUSE
""	2310016G11Rik	Q9D7B4_MOUSE
""	2310022A10Rik	A0A087WRI8_MOUSE
""	2310022A10Rik	A0A0R4J2B5_MOUSE
""	2310022A10Rik	CS047_MOUSE
""	2310022A10Rik	CS047_MOUSE
""	2310022A10Rik	CS047_MOUSE
""	2310022A10Rik	G5E8E3_MOUSE
""	2310022B05Rik	CA198_MOUSE
""	2310030G06Rik	CK052_MOUSE
""	2310030G06Rik	CK052_MOUSE
""	2310033P09Rik	MMTA2_MOUSE
""	2310034C09Rik	Q9D746_MOUSE
""	2310034G01Rik	A0A286YDL3_MOUSE
""	2310039H08Rik	CF226_MOUSE
""	2310040G07Rik	Q9D719_MOUSE
""	2310046K23Rik	A0A0A6YVW6_MOUSE
""	2310050C09Rik	G5E8Z3_MOUSE
""	2310057J18Rik	D3YTP1_MOUSE
""	2310057J18Rik	D3Z001_MOUSE
""	2310057J18Rik	LEG1H_MOUSE
""	2310057M21Rik	A0A140LJB8_MOUSE
""	2310057M21Rik	PAAT_MOUSE
""	2310057N15Rik	Q9D6T8_MOUSE
""	2310061I04Rik	B8JJ66_MOUSE
""	2310061I04Rik	B8JJ69_MOUSE
""	2310061I04Rik	Q497V8_MOUSE
""	2310061N02Rik	Q9D6S9_MOUSE
""	2310067E19Rik	Q8C757_MOUSE
""	2310068J16Rik	Q9D6P9_MOUSE
""	2310079G19Rik	Q9D6L6_MOUSE
""	2410002F23Rik	A0A087WSJ7_MOUSE
""	2410002F23Rik	Q3T9M2_MOUSE
""	2410002F23Rik	Q3TE80_MOUSE
""	2410002F23Rik	Q8CBG0_MOUSE
""	2410002F23Rik	Q9CWW9_MOUSE
""	2410004B18Rik	CA052_MOUSE
""	2410004B18Rik	D6RCI4_MOUSE
""	2410004P03Rik	A0A087WQY2_MOUSE
""	2410004P03Rik	D3Z430_MOUSE
""	2410017I17Rik	Q8C475_MOUSE
""	2410017I17Rik	Q9CWM8_MOUSE
""	2410018L13Rik	Q9CYR1_MOUSE
""	2410022M11Rik	Q3TQL6_MOUSE
""	2410124H12Rik	Q9CWF8_MOUSE
""	2410137M14Rik	G3UXK3_MOUSE
""	2410137M14Rik	Q9CWF0_MOUSE
""	2510002D24Rik	A0A087WS89_MOUSE
""	2510002D24Rik	A0A087WSJ3_MOUSE
""	2510002D24Rik	CV039_MOUSE
""	2510009E07Rik	A0A338P700_MOUSE
""	2510009E07Rik	CC070_MOUSE
""	2510039O18Rik	K2013_MOUSE
""	2510039O18Rik	K2013_MOUSE
""	2510039O18Rik	K2013_MOUSE
""	2600006K01Rik	Q9D0Q5_MOUSE
""	2610002M06Rik	CH1B2_MOUSE
""	2610008E11Rik	A0A1W2P7U6_MOUSE
""	2610008E11Rik	G3X964_MOUSE
""	2610008E11Rik	Q641M0_MOUSE
""	2610021A01Rik	E9Q0Q3_MOUSE
""	2610028H24Rik	E9Q7R5_MOUSE
""	2610028H24Rik	G5E8K1_MOUSE
""	2610028H24Rik	Q3TT67_MOUSE
""	2610028H24Rik	Q80X27_MOUSE
""	2610028H24Rik	Q9D0B9_MOUSE
""	2610042L04Rik	A6NAV9_MOUSE
""	2610042L04Rik	A6NAW3_MOUSE
""	2610042L04Rik	Q9D073_MOUSE
""	2610044O15Rik8	A0A087WNL1_MOUSE
""	2610044O15Rik8	A0A087WRJ1_MOUSE
""	2610044O15Rik8	E9Q1C8_MOUSE
""	2610044O15Rik8	Q8BG62_MOUSE
""	2610206C17Rik	Q9D018_MOUSE
""	2610318N02Rik	Q80VT5_MOUSE
""	2610318N02Rik	Q8BTA4_MOUSE
""	2610507B11Rik	K0100_MOUSE
""	2610528A11Rik	GP15L_MOUSE
""	2610528J11Rik	CA210_MOUSE
""	2700046A07Rik	Q8BT94_MOUSE
""	2700046A07Rik	Q9D218_MOUSE
""	2700049A03Rik	E9Q0E2_MOUSE
""	2700049A03Rik	Q9CZN0_MOUSE
""	2700049A03Rik	TALD3_MOUSE
""	2700062C07Rik	A0A3Q4EGR9_MOUSE
""	2700062C07Rik	CR021_MOUSE
""	2700097O09Rik	Q6PGK3_MOUSE
""	2700097O09Rik	Q8C576_MOUSE
""	2700097O09Rik	Q9CZH1_MOUSE
""	2810004N23Rik	CA131_MOUSE
""	2810021J22Rik	Q8BIB6_MOUSE
""	2810025M15Rik	Q9CZB1_MOUSE
""	2810032G03Rik	Q8BT22_MOUSE
""	2810032G03Rik	Q8CDR9_MOUSE
""	2810032G03Rik	Q9CZ97_MOUSE
""	2810407A14Rik	Q8C9M5_MOUSE
""	2810408A11Rik	B1AR39_MOUSE
""	2810408A11Rik	B1AR42_MOUSE
""	2810408A11Rik	B1AR44_MOUSE
""	2810408A11Rik	J3QNJ8_MOUSE
""	2810408A11Rik	Q05BD3_MOUSE
""	2810408A11Rik	Q3TAR5_MOUSE
""	2810408A11Rik	Q6NSU2_MOUSE
""	2810408A11Rik	Q9CZ35_MOUSE
""	2810459M11Rik	B7ZMV2_MOUSE
""	2810459M11Rik	CB072_MOUSE
""	2810459M11Rik	CB072_MOUSE
""	2810474C18Rik	Q9CYR5_MOUSE
""	2900005J15Rik	Q9D5C5_MOUSE
""	2900026A02Rik	A0A1B0GR85_MOUSE
""	2900026A02Rik	A0A1D5RLN6_MOUSE
""	2900026A02Rik	K1671_MOUSE
""	2900052L18Rik	Q8BSB8_MOUSE
""	2900052L18Rik	Q8CEV4_MOUSE
""	2900092C05Rik	Q5I0V9_MOUSE
""	2900092C05Rik	Q9D6D4_MOUSE
""	3010003L21Rik	Q8C6B6_MOUSE
""	3100002H09Rik	Q9CXW6_MOUSE
""	3110001I22Rik	Q9CZ70_MOUSE
""	3110009E18Rik	CB076_MOUSE
""	3110009E18Rik	CB076_MOUSE
""	3110018I06Rik	Q9CXS0_MOUSE
""	3110021N24Rik	J3QMN2_MOUSE
""	3110040M04Rik	A0A286YDK0_MOUSE
""	3110040N11Rik	CO040_MOUSE
""	3110040N11Rik	D6RIL2_MOUSE
""	3110040N11Rik	Q3TDI7_MOUSE
""	3110053B16Rik	Q8C3E6_MOUSE
""	3110070M22Rik	Q9CXM1_MOUSE
""	3110070M22Rik	Q9DAQ7_MOUSE
""	3110082I17Rik	A0A0G2JEY4_MOUSE
""	3110082I17Rik	CG050_MOUSE
""	3110082J24Rik	F6Z6Z2_MOUSE
""	3222401L13Rik	Q3UEV8_MOUSE
""	3300002A11Rik	Q9CXH4_MOUSE
""	3300002I08Rik	B6ZLR4_MOUSE
""	3300002I08Rik	Q9CXH3_MOUSE
""	3425401B19Rik	CEFIP_MOUSE
""	3426406K10Rik	Q3V1W3_MOUSE
""	3830403N18Rik	Q9D6C3_MOUSE
""	3830406C13Rik	A0A286YD67_MOUSE
""	3830406C13Rik	A0A286YDP6_MOUSE
""	3830406C13Rik	CC014_MOUSE
""	3830406C13Rik	CC014_MOUSE
""	3830408C21Rik	Q8C743_MOUSE
""	3930402G23Rik	Q9CYP8_MOUSE
""	4631405J19Rik	Q498A6_MOUSE
""	4631405J19Rik	Q8CEE4_MOUSE
""	4631423B10Rik	Q8BGS8_MOUSE
""	4632404H12Rik	Q9D683_MOUSE
""	4632427E13Rik	Q3UL04_MOUSE
""	4632427I20Rik	Q3V1I2_MOUSE
""	4632433K11Rik	Q9D656_MOUSE
""	4731417B20Rik	Q9D648_MOUSE
""	4731419I09Rik	Q3V1I1_MOUSE
""	4732463B04Rik	Q3V1F3_MOUSE
""	4732465J04Rik	Q8C686_MOUSE
""	4732471J01Rik	Q8C5J9_MOUSE
""	4833408A19Rik	Q8C5A3_MOUSE
""	4833413E03Rik	Q9D2L2_MOUSE
""	4833420G17Rik	CE034_MOUSE
""	4833420G17Rik	CE034_MOUSE
""	4833422C13Rik	Q3TSH1_MOUSE
""	4833432P19Rik	Q8CDX1_MOUSE
""	4833439L19Rik	D3Z1F7_MOUSE
""	4833439L19Rik	P33MX_MOUSE
""	4833439L19Rik	P33MX_MOUSE
""	4833439L19Rik	P33MX_MOUSE
""	4921504E06Rik	Q8CET2_MOUSE
""	4921504E06Rik	Q9D5T8_MOUSE
""	4921507P07Rik	CG031_MOUSE
""	4921507P07Rik	Q3TT91_MOUSE
""	4921508D12Rik	Q9D5X9_MOUSE
""	4921508M14Rik	Q9D5X6_MOUSE
""	4921509C19Rik	SMKX_MOUSE
""	4921511C20Rik	Q8BVT7_MOUSE
""	4921513D11Rik	Q9D5W3_MOUSE
""	4921513I03Rik	Q9D5W2_MOUSE
""	4921517D22Rik	A0A286YDE0_MOUSE
""	4921517D22Rik	Q8CET0_MOUSE
""	4921522P10Rik	Q9D5T6_MOUSE
""	4921524J17Rik	A0A1B0GRH9_MOUSE
""	4921524J17Rik	CP087_MOUSE
""	4921524L21Rik	A0A3Q4EGB9_MOUSE
""	4921524L21Rik	Q80W38_MOUSE
""	4921524L21Rik	Q9D5T2_MOUSE
""	4921528I07Rik	Q9D5S6_MOUSE
""	4921536K21Rik	CE052_MOUSE
""	4921536K21Rik	CE052_MOUSE
""	4921539E11Rik	CA141_MOUSE
""	4921539E11Rik	CA141_MOUSE
""	4921539E11Rik	CA141_MOUSE
""	4922502B01Rik	Q9D5Q7_MOUSE
""	4922502B01Rik	Q9D6G2_MOUSE
""	4930402F06Rik	A2AUQ8_MOUSE
""	4930402F06Rik	Q14BP7_MOUSE
""	4930402K13Rik	B1AW18_MOUSE
""	4930402K13Rik	Q9D5P7_MOUSE
""	4930404H24Rik	A2APL1_MOUSE
""	4930404N11Rik	CS071_MOUSE
""	4930407I10Rik	D3Z5T8_MOUSE
""	4930412M03Rik	Q8CDU0_MOUSE
""	4930412O13Rik	A2ASX5_MOUSE
""	4930412O13Rik	Q3UNC2_MOUSE
""	4930412O13Rik	Q9D5M9_MOUSE
""	4930415L06Rik	B2RX57_MOUSE
""	4930415L06Rik	P4R3C_MOUSE
""	4930417O22Rik	Q8C618_MOUSE
""	4930417O22Rik	Q9D5M4_MOUSE
""	4930426D05Rik	Q9D5L2_MOUSE
""	4930426L09Rik	Q9D5L1_MOUSE
""	4930429B21Rik	Q9CQQ1_MOUSE
""	4930430F08Rik	CL029_MOUSE
""	4930430F08Rik	CL029_MOUSE
""	4930430O22Rik	Q9D2I7_MOUSE
""	4930431F12Rik	Q9D5J7_MOUSE
""	4930432E11Rik	Q8CDS5_MOUSE
""	4930432F04Rik	Q9D2I6_MOUSE
""	4930432M17Rik	Q3V0W9_MOUSE
""	4930433I11Rik	A0A0U1RPT6_MOUSE
""	4930433I11Rik	B2RX47_MOUSE
""	4930433I11Rik	Q8CDS3_MOUSE
""	4930433N12Rik	Q9D5I9_MOUSE
""	4930438A08Rik	A0A140LJK6_MOUSE
""	4930438A08Rik	Q5SPH3_MOUSE
""	4930442E04Rik	Q9D5G8_MOUSE
""	4930442H23Rik	Q9D5G7_MOUSE
""	4930444P10Rik	D3YUR1_MOUSE
""	4930444P10Rik	F6QJK4_MOUSE
""	4930447A16Rik	Q9D5F6_MOUSE
""	4930447C04Rik	B2RQE0_MOUSE
""	4930447C04Rik	D3Z202_MOUSE
""	4930447C04Rik	F8WHJ9_MOUSE
""	4930447C04Rik	S6OS1_MOUSE
""	4930447C04Rik	S6OS1_MOUSE
""	4930447F04Rik	A2AFR2_MOUSE
""	4930447F04Rik	Q9D5F2_MOUSE
""	4930449A18Rik	Q9D5E6_MOUSE
""	4930449E01Rik	Q9D5E5_MOUSE
""	4930449I24Rik	Q9D5E3_MOUSE
""	4930451E10Rik	Q8C1G9_MOUSE
""	4930451I11Rik	FIMP_MOUSE
""	4930451I11Rik	FIMP_MOUSE
""	4930453N24Rik	CC038_MOUSE
""	4930453N24Rik	Q9DCQ5_MOUSE
""	4930455H04Rik	D3Z622_MOUSE
""	4930465K10Rik	Q9D5C3_MOUSE
""	4930466F19Rik	Q9D5C1_MOUSE
""	4930469K13Rik	A0A286YDB2_MOUSE
""	4930469K13Rik	A0A286YDX3_MOUSE
""	4930470H14Rik	Q9D5B6_MOUSE
""	4930470P17Rik	Q9D542_MOUSE
""	4930470P17Rik	Q9D5B4_MOUSE
""	4930471G03Rik	Q9D2T8_MOUSE
""	4930474M22Rik	Q8CES2_MOUSE
""	4930474N05Rik	Q3V0P0_MOUSE
""	4930474N05Rik	Q3V0R1_MOUSE
""	4930474N05Rik	Q8BVR5_MOUSE
""	4930480E11Rik	Q0VG34_MOUSE
""	4930480E11Rik	Q9D5A6_MOUSE
""	4930483J18Rik	Q9D425_MOUSE
""	4930483J18Rik	Q9D5A4_MOUSE
""	4930486L24Rik	TEST2_MOUSE
""	4930500M09Rik	Q9D590_MOUSE
""	4930503B20Rik	G5E8V6_MOUSE
""	4930503B20Rik	Q80ZP0_MOUSE
""	4930503E14Rik	Q9D583_MOUSE
""	4930503L19Rik	A0A1D5RLY5_MOUSE
""	4930503L19Rik	A0A1D5RME7_MOUSE
""	4930503L19Rik	A0A1D5RMK7_MOUSE
""	4930503L19Rik	G8CZ46_MOUSE
""	4930503L19Rik	G8CZ47_MOUSE
""	4930503L19Rik	G8CZ49_MOUSE
""	4930503L19Rik	G8CZ50_MOUSE
""	4930503L19Rik	G8CZ56_MOUSE
""	4930503L19Rik	G8CZ57_MOUSE
""	4930503L19Rik	G8CZ59_MOUSE
""	4930503L19Rik	G8CZ60_MOUSE
""	4930503L19Rik	G8CZ61_MOUSE
""	4930503L19Rik	G8CZ62_MOUSE
""	4930503L19Rik	G8CZ65_MOUSE
""	4930503L19Rik	G8CZ66_MOUSE
""	4930503L19Rik	G8CZ67_MOUSE
""	4930503L19Rik	G8CZ71_MOUSE
""	4930503L19Rik	G8CZ74_MOUSE
""	4930503L19Rik	G8CZ76_MOUSE
""	4930503L19Rik	G8CZ77_MOUSE
""	4930503L19Rik	G8CZ78_MOUSE
""	4930503L19Rik	G8CZ79_MOUSE
""	4930503L19Rik	G8CZ80_MOUSE
""	4930503L19Rik	G8CZ81_MOUSE
""	4930503L19Rik	G8CZ82_MOUSE
""	4930503L19Rik	G8CZ83_MOUSE
""	4930503L19Rik	G8CZ84_MOUSE
""	4930503L19Rik	G8CZ85_MOUSE
""	4930503L19Rik	G8CZ86_MOUSE
""	4930503L19Rik	G8CZ87_MOUSE
""	4930503L19Rik	G8CZ88_MOUSE
""	4930503L19Rik	G8CZ89_MOUSE
""	4930503L19Rik	G8CZ90_MOUSE
""	4930503L19Rik	LAS2_MOUSE
""	4930503L19Rik	LAS2_MOUSE
""	4930503L19Rik	Q3UFM3_MOUSE
""	4930505A04Rik	CB073_MOUSE
""	4930505A04Rik	CB073_MOUSE
""	4930505A04Rik	F2Z426_MOUSE
""	4930505O20Rik	Q9D576_MOUSE
""	4930506F14Rik	Q9D573_MOUSE
""	4930510E17Rik	Q9D569_MOUSE
""	4930512B01Rik	Q9D556_MOUSE
""	4930512M02Rik	Q5SQK8_MOUSE
""	4930513O06Rik	Q9D549_MOUSE
""	4930515G01Rik	Q8C9P1_MOUSE
""	4930516K23Rik	Q8VGY1_MOUSE
""	4930517O19Rik	Q9D540_MOUSE
""	4930518F22Rik	Q9D536_MOUSE
""	4930518I15Rik	Q3V2W7_MOUSE
""	4930519G04Rik	Q3TTG8_MOUSE
""	4930519G04Rik	Q9CPT7_MOUSE
""	4930519G04Rik	Q9DAB8_MOUSE
""	4930522H14Rik	CA185_MOUSE
""	4930522H14Rik	CA185_MOUSE
""	4930522L14Rik	E9QAG4_MOUSE
""	4930522L14Rik	Q8C1G8_MOUSE
""	4930522N08Rik	Q9D526_MOUSE
""	4930523C07Rik	E9Q2T4_MOUSE
""	4930523C07Rik	Q8CBL2_MOUSE
""	4930523C07Rik	Q8CE67_MOUSE
""	4930524B15Rik	CE047_MOUSE
""	4930533K18Rik	Q9D501_MOUSE
""	4930533L02Rik	Q9D500_MOUSE
""	4930542C12Rik	Q9D4X9_MOUSE
""	4930542C16Rik	Q9D4X8_MOUSE
""	4930544D05Rik	J3KMM3_MOUSE
""	4930544D05Rik	J3QJW4_MOUSE
""	4930544D05Rik	J3QK56_MOUSE
""	4930544G11Rik	C0IQA7_MOUSE
""	4930544G11Rik	Q9CR99_MOUSE
""	4930544L04Rik	Q3V0D6_MOUSE
""	4930544M13Rik	Q8C5X3_MOUSE
""	4930546C10Rik	Q9D2F9_MOUSE
""	4930547M16Rik	Q3TLM8_MOUSE
""	4930548G14Rik	Q9D4W7_MOUSE
""	4930548H24Rik	Q9D496_MOUSE
""	4930550C14Rik	MFI_MOUSE
""	4930550C14Rik	Q14BS3_MOUSE
""	4930555F03Rik	Q9D4V1_MOUSE
""	4930555G01Rik	Q8C5Y7_MOUSE
""	4930556A20Rik	Q9D4U9_MOUSE
""	4930556J24Rik	Q9D4U7_MOUSE
""	4930556L07Rik	Q9D4U6_MOUSE
""	4930558C23Rik	CTXD2_MOUSE
""	4930558J22Rik	Q3V066_MOUSE
""	4930558K02Rik	E0CXC6_MOUSE
""	4930562C15Rik	A6H692_MOUSE
""	4930562C15Rik	CP096_MOUSE
""	4930562C15Rik	CP096_MOUSE
""	4930562C15Rik	H3BJT7_MOUSE
""	4930562F07Rik	Q9D4T5_MOUSE
""	4930563E22Rik	CQ100_MOUSE
""	4930563M21Rik	E9QAA9_MOUSE
""	4930563M21Rik	Q8CER3_MOUSE
""	4930564C03Rik	Q9D4S5_MOUSE
""	4930564D02Rik	Q9D4S4_MOUSE
""	4930565B19Rik	Q3UXV9_MOUSE
""	4930566N20Rik	Q8CER2_MOUSE
""	4930567H17Rik	Q3V0K5_MOUSE
""	4930568D16Rik	GTA1L_MOUSE
""	4930569F06Rik	Q9D2F2_MOUSE
""	4930572O03Rik	Q8C5Y0_MOUSE
""	4930578G10Rik	Q9D4Q4_MOUSE
""	4930578I06Rik	CH074_MOUSE
""	4930578I07Rik	Q9D4Q3_MOUSE
""	4930579C12Rik	Q8CDN2_MOUSE
""	4930579F01Rik	A0A0G2JEX5_MOUSE
""	4930579F01Rik	A0A5F8MPV9_MOUSE
""	4930579F01Rik	B2RWT4_MOUSE
""	4930579F01Rik	E9Q3L6_MOUSE
""	4930579G18Rik	Q9D4P9_MOUSE
""	4930579G24Rik	CD046_MOUSE
""	4930579K19Rik	Q8BH39_MOUSE
""	4930581F22Rik	Q9D2E5_MOUSE
""	4930583I09Rik	Q9D2E3_MOUSE
""	4930583K01Rik	Q8CER1_MOUSE
""	4930584F24Rik	Q9D4P3_MOUSE
""	4930588K23Rik	Q3V0I5_MOUSE
""	4930589L23Rik	Q9D4N6_MOUSE
""	4930590J08Rik	CC020_MOUSE
""	4930591A17Rik	Q9CQH6_MOUSE
""	4930594M22Rik	Q3TZ26_MOUSE
""	4930595D18Rik	D3Z642_MOUSE
""	4930595M18Rik	A2RRY9_MOUSE
""	4930595M18Rik	Q8CDN0_MOUSE
""	4930596D02Rik	Q3V0H9_MOUSE
""	4930597L12Rik	Q9D4N0_MOUSE
""	4931400O07Rik	Q9D4M5_MOUSE
""	4931403M11Rik	Q9D4M2_MOUSE
""	4931406B18Rik	A0A0B4J1M4_MOUSE
""	4931406B18Rik	A2RSL7_MOUSE
""	4931406B18Rik	E9PXL1_MOUSE
""	4931406B18Rik	E9Q2G4_MOUSE
""	4931406B18Rik	Q9D4M0_MOUSE
""	4931406C07Rik	A0A1L1SSF8_MOUSE
""	4931406C07Rik	A0A1L1ST86_MOUSE
""	4931406C07Rik	CK054_MOUSE
""	4931406H21Rik	Q8CD69_MOUSE
""	4931408C20Rik	E9PWP9_MOUSE
""	4931408C20Rik	Q3V0G6_MOUSE
""	4931414P19Rik	CN093_MOUSE
""	4931422A03Rik	A2BHN9_MOUSE
""	4931422A03Rik	Q8C617_MOUSE
""	4931428F04Rik	K895L_MOUSE
""	4931428L18Rik	A0A087WNP0_MOUSE
""	4931428L18Rik	B7ZWJ4_MOUSE
""	4931428L18Rik	Q9D4J5_MOUSE
""	4931428L18Rik	Q9D4S9_MOUSE
""	4931429L15Rik	E9PVU2_MOUSE
""	4931429L15Rik	Q8CER0_MOUSE
""	4931429P17Rik	Q9D4J2_MOUSE
""	4931431C16Rik	Q8BFT5_MOUSE
""	4931440P22Rik	Q3TDK5_MOUSE
""	4932411K12Rik	Q8CDJ2_MOUSE
""	4932414J04Rik	Q8C0R4_MOUSE
""	4932414N04Rik	Q8CEQ9_MOUSE
""	4932415D10Rik	A0A1W2P6U8_MOUSE
""	4932415D10Rik	E9Q0G0_MOUSE
""	4932415D10Rik	Q8CDI3_MOUSE
""	4932415M13Rik	Q32M05_MOUSE
""	4932415M13Rik	Q8C0Q8_MOUSE
""	4932416K20Rik	Q8CDH3_MOUSE
""	4932422M17Rik	Q9D4H0_MOUSE
""	4932429P05Rik	A2ADI4_MOUSE
""	4932430I15Rik	Q3V0B0_MOUSE
""	4932431L22Rik	Q3V0A3_MOUSE
""	4932435O22Rik	Q8BGG8_MOUSE
""	4932438A13Rik	D6RI50_MOUSE
""	4932438A13Rik	K1109_MOUSE
""	4932438A13Rik	K1109_MOUSE
""	4932438A13Rik	K1109_MOUSE
""	4932438A13Rik	K1109_MOUSE
""	4932438A13Rik	K1109_MOUSE
""	4932438A13Rik	K1109_MOUSE
""	4932438A13Rik	Q8BU84_MOUSE
""	4932438H23Rik	CU062_MOUSE
""	4932442E05Rik	Q9D4F7_MOUSE
""	4932443L11Rik	Q9D2D5_MOUSE
""	4933400A11Rik	Q9CR52_MOUSE
""	4933402D24Rik	Q9D4D3_MOUSE
""	4933402J07Rik	Q3V0R6_MOUSE
""	4933402J07Rik	Q8BHX0_MOUSE
""	4933402N03Rik	Q8CDT9_MOUSE
""	4933402N03Rik	Q8CEQ5_MOUSE
""	4933402N22Rik	A3KN63_MOUSE
""	4933403O08Rik	F6RU76_MOUSE
""	4933403O08Rik	F6UK53_MOUSE
""	4933404G15Rik	Q9D4B5_MOUSE
""	4933405L10Rik	CP086_MOUSE
""	4933405L10Rik	CP086_MOUSE
""	4933405O20Rik	IDHG2_MOUSE
""	4933406P04Rik	Q9D488_MOUSE
""	4933407E24Rik	Q3TVA1_MOUSE
""	4933407I18Rik	Q3V1Y1_MOUSE
""	4933407L21Rik	D3Z3J4_MOUSE
""	4933407L21Rik	Q9D476_MOUSE
""	4933408J17Rik	Q9D475_MOUSE
""	4933409G03Rik	Q8C5U0_MOUSE
""	4933409K07Rik	Q6GQS8_MOUSE
""	4933411G06Rik	Q9D466_MOUSE
""	4933411K16Rik	CJ062_MOUSE
""	4933412E24Rik	CX049_MOUSE
""	4933413J09Rik	F2VSL0_MOUSE
""	4933413J09Rik	Q8C2X4_MOUSE
""	4933413J09Rik	Q9D447_MOUSE
""	4933414I15Rik	Q9D4D5_MOUSE
""	4933414I15Rik	Q9D4F6_MOUSE
""	4933415A04Rik	Q9D443_MOUSE
""	4933416I08Rik	Q3TQ67_MOUSE
""	4933416I08Rik	Q9D434_MOUSE
""	4933417A18Rik	CF201_MOUSE
""	4933421I07Rik	Q9D420_MOUSE
